"MessageID","MessageString","Severity"
"619","Microsoft SQL Server reported SQL message %1, severity %2: %3Please refer to your Configuration Manager documentation, SQL Server documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Informational"
"620","Microsoft SQL Server reported SQL message %1, severity %2: %3Please refer to your Configuration Manager documentation, SQL Server documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Informational"
"621","Created the ""%1"" inbox definition.  The inbox will exist on the Site Server with the relative path ""%2"".","Informational"
"622","Created the ""%1"" inbox definition.  The inbox will exist on the SQL Server with the relative path ""%2"".","Informational"
"623","Created the ""%1"" inbox definition.  The inbox will exist on the Client Access Point with the relative path ""%2"".","Informational"
"624","Created the ""%1"" inbox definition.  The inbox will exist on the named export ""%2"" with the relative path ""%3"".%4%5%6%7%8%9%10","Informational"
"625","Read the existing ""%1"" inbox definition.  The inbox should exist on the Site Server with the relative path ""%2"".","Informational"
"626","Read the existing ""%1"" inbox definition.  The inbox should exist on the SQL Server with the relative path ""%2"".","Informational"
"627","Read the existing ""%1"" inbox definition.  The inbox should exist on the Client Access Point with the relative path ""%2"".","Informational"
"628","Read the existing ""%1"" inbox definition.  The inbox should exist on the named export ""%2"" with the relative path ""%3"".%4%5%6%7%8%9%10","Informational"
"629","Deleted the ""%1"" inbox definition.%4%5%6%7%8%9%10","Informational"
"630","Created an inbox rule to copy ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Files will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"631","Created an inbox rule to copy ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Directories will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"632","Created an inbox rule to move ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Files will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"633","Created an inbox rule to move ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Directories will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"634","Created an inbox rule to mirror ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.%5%6%7%8%9%10","Informational"
"635","Created an inbox rule to mirror ""%1"" directories that match the template ""%1"" from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.%5%6%7%8%9%10","Informational"
"636","Read the existing inbox rule to copy ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Files will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"637","Read the existing inbox rule to copy ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Directories will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"638","Read the existing inbox rule to move ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Files will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"639","Read the existing inbox rule to move ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.  Directories will be created in the destination inbox with the template ""%5"".%6%7%8%9%10","Informational"
"640","Read the existing inbox rule to mirror ""%1"" files from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.%5%6%7%8%9%10","Informational"
"641","Read the existing inbox rule to mirror ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox with a maximum delay of %4 minutes.%5%6%7%8%9%10","Informational"
"642","Deleted the inbox rule to copy ""%1"" files from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"643","Deleted the inbox rule to copy ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"644","Deleted the inbox rule to move ""%1"" files from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"645","Deleted the inbox rule to move ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"646","Deleted the inbox rule to mirror ""%1"" files from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"647","Deleted the inbox rule to mirror ""%1"" directories from the ""%2"" inbox to the ""%3"" inbox.%4%5%6%7%8%9%10","Informational"
"648","Resolved the ""%1"" inbox to ""%2"".","Informational"
"649","Waiting for the ""%1"" inbox to be defined.%2","Informational"
"650","Waiting for SMS_INBOX_MANAGER to create the ""%1"" inbox.%2","Informational"
"663","Instructed SMS_REPLICATION_MANAGER to replicate file ""%1"" to the ""%2"" inbox at site %3.  The replication will be scheduled as low priority.%4%5%6%7%8%9%10","Informational"
"664","Instructed SMS_REPLICATION_MANAGER to replicate file ""%1"" to the ""%2"" inbox at site %3.  The replication will be scheduled as normal priority.%4%5%6%7%8%9%10","Informational"
"665","Instructed SMS_REPLICATION_MANAGER to replicate file ""%1"" to the ""%2"" inbox at site %3.  The replication will be scheduled as high priority.%4%5%6%7%8%9%10","Informational"
"686","Component %1 on %2 is %3.","Informational"
"1013","Site Component Manager detected that this component should be installed on this site system. Site Component Manager will attempt to install the component every %1 minutes until the installation succeeds.","Informational"
"1014","Site Component Manager is installing this component on this site system.","Informational"
"1015","Site Component Manager successfully installed this component on this site system.","Informational"
"1017","Site Component Manager detected that this component should be reinstalled on this site system. Site Component Manager will attempt to install the component every %1 minutes until the installation succeeds.","Informational"
"1018","Site Component Manager is reinstalling this component on this site system.","Informational"
"1019","Site Component Manager successfully reinstalled this component on this site system.","Informational"
"1021","Site Component Manager detected that this component should be deinstalled from this site system. Site Component Manager will attempt to deinstall the component every %1 minutes. Site Component Manager will abort the deinstallation if it fails to succeed after %2 minutes.","Informational"
"1022","Site Component Manager is deinstalling this component from this site system.","Informational"
"1023","Site Component Manager successfully deinstalled this component from this site system.","Informational"
"1026","Site Component Manager is configuring site system ""%1"" to receive Configuration Manager Server Components.","Informational"
"1027","Site Component Manager successfully configured site system ""%1"" to receive Configuration Manager Server Components. Site Component Manager will now begin installing the components on the site system.","Informational"
"1029","Site Component Manager is reconfiguring site system ""%1"" to receive Configuration Manager Server Components.","Informational"
"1030","Site Component Manager successfully reconfigured site system ""%1"" to receive Configuration Manager Server Components. Site Component Manager will now begin reinstalling the components on the site system.","Informational"
"1032","Site Component Manager detected that all Configuration Manager Server Components have been deinstalled from site system ""%1"". Site Component Manager is removing remaining accounts, files, and registry keys associated with the Configuration Manager Server Components from the site system.","Informational"
"1033","Site Component Manager successfully removed all accounts, files, and registry keys associated with the Configuration Manager Server Components from site system ""%1"".","Informational"
"1040","Site Component Manager detected that site system ""%1"" is based on an Intel x86 or compatible platform (processor architecture).","Informational"
"1041","Site Component Manager detected that site system ""%1"" is based on the Alpha platform (processor architecture).","Informational"
"1046","Site Component Manager detected that site system ""%1"" is running the Microsoft Windows Server operating system version %2.","Informational"
"1047","Site Component Manager detected that site system ""%1"" is running the Microsoft Windows Server operating system version %2 service pack %3.","Informational"
"1051","Site Component Manager created the Configuration Manager Server Components' installation directory ""%2"" on site system ""%1"". Site Component Manager selected this partition because it was the NTFS partition with the most free space.","Informational"
"1053","Site Component Manager created the ""%2"" account on site system ""%1"". When Site Component Manager installs services on the site system, it will configure them to log in using this account. If the site system is a stand-alone server, the account is a local machine account with full administrative rights. If the site system is a domain controller, the account is a domain account with domain user rights and full administrative rights only to the site system.","Informational"
"1057","Because site system ""%1"" might have malfunctioned, as a safety measure Site Component Manager will attempt to reconfigure it to receive Configuration Manager Server Components and reinstall all of the Configuration Manager Server Components on it. This attempt will occur in %2 minutes.","Informational"
"1059","Site Component Manager removed the ""%2"" account from site system ""%1"". ","Informational"
"1061","Site Component Manager removed the Configuration Manager Server Components' installation directory ""%2"" on site system ""%1"".","Informational"
"1062","Site Component Manager detected that the service account has changed, and will now reinstall all of the Configuration Manager Server Components that are installed on the site server.","Informational"
"1063","Site Component Manager was instructed by Configuration Manager Setup to shut down the site in preparation for a site upgrade, modification, or reset operation. Site Component Manager will now stop all of the Configuration Manager Server Components on all of the site systems, mark all of these components for reinstallation, and then stop itself. Site Component Manager will reinstall all of the components when it is restarted by Configuration Manager Setup at the end of the site upgrade, modification, or reset operation.","Informational"
"1064","Site Component Manager is stopping all of the Configuration Manager Server Components on site system ""%1"".","Informational"
"1065","Site Component Manager will not stop any Configuration Manager Server Components on site system ""%1"" because no Configuration Manager Server Components are installed on the site system.","Informational"
"1066","Site Component Manager will now try again to stop all of the Configuration Manager Server Components on site system ""%1"", as requested by Configuration Manager Setup.","Informational"
"1068","Site Component Manager was instructed by Configuration Manager Setup to deinstall the site. Site Component Manager will now deinstall all of the Configuration Manager Server Components from all of the site systems.","Informational"
"1069","Site Component Manager is deinstalling all of the Configuration Manager Server Components from site system ""%1"".","Informational"
"1070","Site Component Manager will not deinstall any Configuration Manager Server Components from site system ""%1"" because no Configuration Manager Server Components are installed on the site system.","Informational"
"1071","Site Component Manager will now try again to deinstall all of the Configuration Manager Server Components from site system ""%1"", as requested by Configuration Manager Setup.","Informational"
"1075","Site Component Manager detected that %1 bytes are required by this component on the drive containing the ""%2"" directory, and that %3 bytes are available. Site Component Manager will proceed with the installation of this component.","Informational"
"1078","Site Component Manager copied file ""%1"" to ""%2"".","Informational"
"1079","Site Component Manager did not copy file ""%1"" to ""%2"", because the source file is not a newer version than the destination file.","Informational"
"1088","Site Component Manager installed the %1 service on site system ""%2"". The service will log on as account ""%3"".","Informational"
"1089","Site Component Manager started the %1 service on site system ""%2"".","Informational"
"1092","Site Component Manager stopped the %1 service on site system ""%2"".","Informational"
"1093","Site Component Manager deinstalled the %1 service from site system ""%2"".","Informational"
"1094","Site Component Manager installed this component as a thread of the SMS Executive service on this site system.","Informational"
"1095","Site Component Manager started this component on this site system.","Informational"
"1096","Site Component Manager stopped this component on this site system.","Informational"
"1097","Site Component Manager deinstalled this component as a thread of SMS Executive on this site system.","Informational"
"1105","SMS Executive is next scheduled to start this component on ""%1"".","Informational"
"1106","SMS Executive will never start this component because it is never scheduled to run.  If you want SMS Executive to start the component, enable the component in the Configuration Manager Console and adjust its schedule to an appropriate setting.","Informational"
"1200","In the last %1 hours, Status Manager processed %2 status messages.Of these, %3 were written to the site database, %4 were replicated to the parent site, %5 were reported as Windows Events on the site server, and %6 were passed as command-line parameters to external programs. During this time, Status Manager received %7 corrupt files that contained one or more status messages that could not be processed. Also during this time, Status Manager used %8 hours of CPU time, which represents a %9 percent utilization of the total CPU time available for the period.Status Manager periodically reports this message for your convenience; you can ignore it if your not interested in monitoring Status Manager's processing performance. Status Manager will report this message again in %10 hours.","Informational"
"1201","Status Manager successfully initialized the ""SMS Status Messages"" performance object. Every time Status Manager receives a status message it will update the performance counters contained by this performance object. You can measure Status Manager's processing performance by monitoring this performance object with the Windows Performance Monitor. For example, you can monitor the total number of status messages written to the site database by Status Manager by monitoring the ""_Total"" instance of the ""Written To SMS Database"" counter. Status Manager resets all of the counts when it is restarted, and the counts cannot be viewed when Status Manager is not running.","Informational"
"1203","Status Manager successfully initialized an in-memory queue to forward status messages to the summarizer component %1. The summarizer distills the stream of status messages into a high-level summary, which you can view under the System Status node of the Configuration Manager Console. You can monitor the performance of the in-memory queue in the Windows Performance Monitor by selecting the ""SMS In-Memory Queues"" performance object, and then selecting the instance for this summarizer. For example, the ""Total Objects Enqueued"" counter tells you how many status messages Status Manager has forwarded to the summarizer. The counts are reset when both Status Manager and the summarizer are restarted, which typically occurs when SMS Executive is restarted. The counts cannot be viewed when Status Manager and the summarizer are both not running.","Informational"
"1204","Status Manager will no longer forward status messages to the summarizer component %1 because the summarizer was disabled. The summarizer distills a stream of status messages into a high-level summary, which you can view under the System Status node of the Configuration Manager Console. If you reenable the summarizer in the Configuration Manager Console, Status Manager will resume forwarding messages to the summarizer.","Informational"
"1300","Network Discovery is starting.","Informational"
"1301","Network Discovery is retrieving information about previously discovered devices and networks from CIM Object Manager.This process can take a long time when many devices are being discovered.","Informational"
"1302","Network Discovery protocol modules are initializing.","Informational"
"1303","Network Discovery is starting protocol operations. Network Discovery is querying network devices to discover devices related to the specified configuration.","Informational"
"1304","Network Discovery is stopping protocol operations.","Informational"
"1305","Network Discovery is stopping the Network Discovery protocol modules.","Informational"
"1306","Network Discovery is storing currently discovered devices and networks in CIM Object Manager, which can take a long time when many devices are being discovered.","Informational"
"1307","Network Discovery is exporting devices and networks to the Discovery Data Manager. This process can take a long time when many devices are being discovered.","Informational"
"1308","Network Discovery has stopped.","Informational"
"1324","Network Discovery failed to enumerate the computers on one or more domains.Possible cause: The specified domains do not exist.Solution: Re-specify domains; go to the Network Discovery Properties dialog box, Domains tab.Possible cause: Domain access problems exist.Solution: Contact your network administrator.","Informational"
"2300","Distribution Manager is beginning to process package ""%1"" (package ID = %2).","Informational"
"2301","Distribution Manager successfully processed package ""%1"" (package ID = %2).","Informational"
"2303","Distribution Manager refreshed package ""%1"" on distribution point ""%2"".","Informational"
"2304","Distribution Manager is retrying to distribute package ""%1"".Wait to see if the package is successfully distributed on the retry.","Informational"
"2310","Distribution Manager compressed package ""%1"" from ""%2"" to ""%3"".","Informational"
"2311","Distribution Manager successfully created or updated package ""%1"".","Informational"
"2314","Distribution Manager removed package ""%1"" from ""%2"" due to changes in the share type or the share name.","Informational"
"2315","Distribution Manager deleted the compressed image of package ""%1"" at ""%2"".","Informational"
"2317","Distribution Manager is refreshing package ""%1"" on distribution point ""%2"".","Informational"
"2322","Distribution Manager decompressed package ""%1"" from ""%2"" to ""%3"".","Informational"
"2329","Distribution Manager copied package ""%1"" from ""%2"" to ""%3"".","Informational"
"2330","Distribution Manager successfully distributed package ""%1"" to distribution point ""%2"".","Informational"
"2331","Distribution Manager successfully removed package ""%1"" from distribution point ""%2"".","Informational"
"2333","Distribution Manager is preparing to send the compressed image of package ""%1"" to child site ""%2"".","Informational"
"2334","Distribution Manager created a 1.x style instruction to send package ""%1"" to 1.x child site ""%2"".","Informational"
"2335","Distribution Manager instructed Scheduler and Sender to send package ""%1"" to child site ""%2"".","Informational"
"2338","Distribution Manager created a 1.x style instruction to send package definition for package ""%1"" to 1.x child site ""%2"".","Informational"
"2339","Distribution Manager instructed Scheduler and Sender to send the package information for package ""%1"" to child site ""%2"".","Informational"
"2342","Distribution Manager is starting to distribute package ""%1"" to distribution point ""%2"".","Informational"
"2350","Distribution Manager instructed Scheduler and Sender to send a forwarding request to site ""%2"", requesting that site to forward package ""%1"" to site ""%3"".","Informational"
"2357","Distribution Manager instructed Package Transfer manager to send package ""%1"" to distribution point ""%2"".","Informational"
"2362","Distribution Manager successfully installed IIS component of operating system to distribution point ""%1"".","Informational"
"2363","Distribution Manager has not tried to install IIS component of operating system to distribution point ""%1"" because its operating system is older than Windows Server 2008. Manual installation of IIS component of operating system to distribution point might be needed. Please ensure RDC is also enabled.","Informational"
"2364","Distribution Manager installed IIS component of operating system to distribution point ""%1"". Installation process ended with an exit code of %2. Reboot of machine ""%1"" is needed to complete the configuration of IIS component of operating system. Also please ensure that the http(s) traffic is not blocked on this machine by firewall settings.","Informational"
"2365","Distribution Manager attempted to run a tool to install IIS component of operating system to distribution point ""%1"". The tool returned non-zero error code %2. Reboot or manual installation of IIS might be required to complete the configuration of IIS component of operating system. Also please ensure that the http(s) traffic is not blocked on this machine by firewall settings and RDC is enabled.","Informational"
"2366","Distribution Manager attempted to run a tool to install IIS component of operating system to distribution point ""%1"". Reboot or manual installation of IIS might be required to complete the configuration of IIS component of operating system. Also please ensure that the http(s) traffic is not blocked on this machine by firewall settings.","Informational"
"2367","Package ""%1"" content was successfully imported from a prestaged content file to distribution points on site server ""%2"" (%3).","Informational"
"2369","WDS is not installed on distribution point ""%1"".The PXE service point will not be available.","Informational"
"2371","Distribution Manager is waiting for package %1 content to be prestaged on the distribution point %2. You must manually prestage the package %1 on the distribution point before the content will be available.","Informational"
"2372","The content files for package %1 have not yet arrived from the source site %2. Distribution Manager will try again later to distribute the content.","Informational"
"2373","PXE is %1 on distribution point %2","Informational"
"2374","Multicast is %1 on distribution point %2","Informational"
"2375","Created virtual directories on the defined share or volume on distribution point ""%1"" successfully.","Informational"
"2376","Distribution Manager created a snapshot for content %1 successfully.","Informational"
"2380","Start to evaluate package ""%1"" on distribution point ""%2"".","Informational"
"2381","An evaluation task is running. Put package ""%1"" to wait queue on distribution point ""%2"".","Informational"
"2384","Package ""%1"" on distribution point ""%2"" has been verified successfully.","Informational"
"2386","All content on distribution point ""%1"" has been verified.","Informational"
"2387","The hash of the migrated package ""%1"" is incorrect in the database. Please update the package on the Configuration Manager 2007 site and then migrate the package again.","Informational"
"2390","The migrated packages on the distribution point server ""%1"" have been successfully copied into the content library on the server.","Informational"
"2393","Successfully retrieved and validated the package list from the distribution point %1.","Informational"
"2397","Detail will be available after the server finishes processing the messages.","Informational"
"2398","Starting to process content","Informational"
"2399","Successfully completed the installation or upgrade of the distribution point on computer ""%1"".","Informational"
"2404","The database maintenance SQL Server task ""%1"" completed successfully. The task deleted %2 items from the site database.","Informational"
"2405","Database Notification Monitor is installing trigger ""%1"" for table ""%2"" and actions ""%3"" in the site database.Server components such as Hierarchy Manager, Collection Evaluator, and Discovery Data Manager instruct Database Notification Monitor to install SQL Server triggers. Then, when certain kinds of data are added to, changed in, or removed from the site database, the SQL Server triggers notify Database Notification Monitor.  In turn, Database Notification Monitor notifies the appropriate server components.","Informational"
"2406","Database Notification Monitor is removing trigger ""%1"" from the site database.Server components such as Hierarchy Manager, Collection Evaluator, and Discovery Data Manager instruct Database Notification Monitor to install SQL triggers. Then, when certain kinds of data are added to, changed in, or removed from the site database, the SQL Server triggers notify Database Notification Monitor.  In turn, Database Notification Monitor notifies the appropriate server components.This trigger is being removed because it is no longer needed.","Informational"
"2408","Database Notification Monitor is executing database maintenance SQL Server command/task ""%1"".You can configure the execution schedule for this SQL Server command/task in the Configuration Manager console under Administration / Overview / Site Configuration / Sites -> Site Maintenance.","Informational"
"2409","The Delete Aged Collected Files database maintenance task completed successfully. The task deleted %1 collected files and %2 directories.","Informational"
"2410","The Rebuild Indexes database maintenance task successfully recreated index ""%1"" on table ""%2"" in the site database.The Rebuild Indexes task periodically recreates the indexes in the site database to provide optimal query performance.","Informational"
"2411","The Rebuild Indexes task has dropped index ""%1"" on table ""%2"" in the site database.The Rebuild Indexes task periodically recreates the indexes in the site database to provide optimal query performance. The task will drop an index when the index has a density of less than 0.50, which indicates that it is not selective enough to improve query performance.","Informational"
"2412","The Monitor Keys and Recreate Views database maintenance task has detected less than 100 values left for key ""%1"" and has rolled it over to ""%2"".","Informational"
"2413","The Software Metering File Usage Summarization task has completed, %1 rows have been added to the summary tables.","Informational"
"2414","The Software Metering Data Monthly Usage Summarization task has completed, %1 rows have been added or updated in the summary tables.","Informational"
"2415","The Clear Install Flag for Undiscovered Clients task has completed, %1 rows have been updated in system discovery tables.","Informational"
"2417","The Delete Inactive Client Discovery Data task has completed, %1 inactive clients have been removed from the database.","Informational"
"2418","The Delete Obsolete Client Discovery Data task has completed, %1 obsolete clients have been removed from the database.","Informational"
"2419","The Client Access License Usage Data Summarization task has completed, %1 rows have been added or updated in the summary table.","Informational"
"2423","Database Notification Monitor succeed to run task 'Delete Expired Bookmarks'. %1 bookmarks have been removed.","Informational"
"2424","Database Notification Monitor succeed to run task 'Delete Expired Activities'. %1 activities have been removed.","Informational"
"2425","Database Notification Monitor succeed to run task 'Delete Expired Activity Facts'. %1 activity facts have been removed.","Informational"
"2426","Database Notification Monitor successfully ran task 'Delete Obsolete Alerts'. %1 alerts have been removed.","Informational"
"2427","The database maintenance SQL Server task ""%1"" completed successfully. %2 catalog rows have been added.","Informational"
"2428","The database maintenance SQL Server task ""%1"" completed successfully. %2 Software rows have been added to summary table.","Informational"
"2429","The database maintenance SQL Server task ""%1"" completed successfully. %2 Targeting rows have been changed.","Informational"
"2545","Collection Evaluator successfully processed new Collection Settings %1.","Informational"
"2546","Collection Evaluator successfully processed Update to Collection Settings %1.","Informational"
"2547","Collection Evaluator successfully removed Collection Settings Policy for Collection %1.","Informational"
"2555","Collection Evaluator successfully processed %1 client updates for collection %2. Original clients number: %3, added: %4, deleted: %5.","Informational"
"2602","Discovery Data Manager is removing references from deleted site ""%1"".","Informational"
"2603","Discovery Data Manager is beginning the process of sending discovery data to the new parent site. (This happens whenever a site attaches to a new parent site.)","Informational"
"2607","Discovery Data Manager has successfully sent the discovery database to the parent site.","Informational"
"2611","Discovery Data Manager has detected a change in assignment rules. Discovery Data Manager will not process discovery data records (DDRs) until it completes the rule refresh operation.","Informational"
"2630","During a refresh, Discovery Data Manager detected that assignment rules had changed. Therefore, Discovery Data Manager is stopping the refresh now, but will perform it later.","Informational"
"2634","Discovery Data Manager will resume processing because it has successfully completed assignment-rule processing.","Informational"
"2637","Discovery Data Manager is updating statistics in all tables in the site database, which helps ensure optimal performance of SQL Server 6.5.","Informational"
"2638","Discovery Data Manager has interpreted discovery data record (DDR) ""%1"" as a delete request. Therefore, Discovery Data Manager is deleting item ""%2"" of architecture ""%3"". DDR ""%1"" contains an old item, but not a new item.","Informational"
"2639","Discovery Data Manager has processed a discovery data record (DDR) for computer ""%1"" with the SMS identifier of ""%3"" which has reported a new hardware identifier of ""%2"". %4 existing records sharing this hardware identifier have been marked as obsolete.  The data in these records has been superseded by the data in the new record.Possible cause: The operating system and ConfigMgr client have been reinstalled on this computer.","Informational"
"2640","Discovery Data Manager has processed a discovery data record (DDR) for computer ""%1"" with the SMS identifier of ""%2"" which has reported a new SMS ID of ""%3"".  An existing record with the previous SMS identifier has been marked as obsolete.  The data in this record has been superseded by the data in the new record.Possible cause: The hardware properties of this client have changed substantially, and the client has generated a new SMS identifier.","Informational"
"2642","Configuration Manager has detected a record that might be conflicting with the following client record in the site database: %1.Possible cause: %1 has been imaged, recovered from backup, or migrated to a new computer.Solution: In the Configuration Manager console, under Computer Management, in the Conflicting Records node, right click %1 and then choose one of the following options:    Merge to match the conflicting record with the existing record,     New to create a new client record, or     Block to block this record from being a client.","Informational"
"2643","Discovery Data Manager decommissioned discovery item with architecture ""%1"" and item key ""%2"".","Informational"
"2704","Inventory Data Loader is updating database statistics for all inventory-related tables. By default, statistics are updated to optimize database performance after a certain number of MIF files have been processed. This message indicates that this milestone has been achieved. You can edit this value in the Configuration Manager Console, under Component Configuration, Data Processing and Storage Properties.","Informational"
"2705","Inventory Data Loader has finished processing %1 MIF files and is terminating the MIF file processing thread.Each time the processing cycle completes, Inventory Data Loader generates this message to report the number of MIF files it has processed.","Informational"
"2708","Inventory Data Loader detected that the parent site has changed to a new site, and now Inventory Data Loader is trying to send all inventory to the new parent through the inventory update process.","Informational"
"2709","The Inventory Data Loader inventory update process has initialized the inventory update status file, which controls the inventory update process's ability to restart.","Informational"
"2710","The Inventory Data Loader has detected that the inventory update process has already been completed. Therefore, Inventory Data Loader is not starting the inventory update process. If this information is incorrect, delete the status file Inv_stat.dat to force the inventory update process to restart.","Informational"
"2711","The Inventory Data Loader inventory update process will use the directory %1. Inventory Data Loader will create delta MIF files in this folder to send to the parent site.","Informational"
"2713","The Inventory Data Loader inventory update process has finished successfully. All inventory has been sent to the parent site.","Informational"
"2714","Inventory Data Loader has requested a resynchronization for site %1. Inventory Data Loader requests resynchronization when it receives an Update or Delete request for a nonexistent group.","Informational"
"2715","Inventory Data Loader has detected a resynchronization request for agent %1. When an agent is specified, the resynchronization is planned only for items reported by that agent. A resynchronization indicates that the current MIF file represents all inventory for the current machine. If any inventory is present in the database that does not occur in the MIF file, Inventory Data Loader deletes it (unless, as with an agent resynchronization, it was reported by a different agent). If many resynchronizations occur, it indicates that inventory was lost at some point.","Informational"
"2716","Inventory Data Loader is going to widen attribute %2 of group %1 from %3 to %4. Inventory Data Loader has received a MIF file that contains a referenced attribute that exceeds the current maximum length. Inventory Data Loader will attempt to widen the column before it inserts the data.","Informational"
"2717","Inventory Data Loader has added group %1 to architecture %2. Inventory Data Loader found a group that it had not found before and successfully added the group to the inventory database.","Informational"
"2718","Inventory Data Loader has added the architecture %1. Inventory Data Loader found an architecture that it had not found before and successfully added it to the inventory database. A custom MIF file, either from this site or from one beneath it, caused this action.","Informational"
"2722","Inventory Data Loader has requested a resynchronization for machine %1. Inventory Data Loader requests resynchronization when it receives an Update or Delete request for a nonexistent group.","Informational"
"2723","Inventory Data Loader requested a resynchronization for machine ""%1"" because a hardware inventory file was sent without a public key information.","Informational"
"2800","Site Control Manager is beginning to process delta site control file ""%1"".Configuration Manager Server Components and SMS Provider clients (such as the Configuration Manager Console) submit delta site control files to change the configuration of the site. A delta site control file contains one or more required changes to the actual site control file (""%2"" at this site). The actual site control file contains the site configuration currently in use. The site is successfully reconfigured only after Site Control Manager receives and processes a delta site control file and then updates the actual site control file with the new configuration data.","Informational"
